item_code,channel,target_ym,forecast_run_ym,model_name,p50,lower_bound,upper_bound
K210,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,37,22,56
K210,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K210A,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,36,22,54
K210B,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,24,14,36
K210C,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,3,2,5
K210C,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K210D,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K240,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K240,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,1,1,2
K240B,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,175,105,263
K250A,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,135,81,203
K250B,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,33,20,50
K310,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,631,379,947
K310,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,758,455,1137
K311,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,92,55,138
K311,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K312,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,24,14,36
K312,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
K350A,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,8,5,12
K350B,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,1,1,2
K350C,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,9,5,14
K350D,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,5,3,8
K350E,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,15,9,23
K350F,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
T120,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,261,157,392
T120,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,338,203,507
T121,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,987,592,1481
T121,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
T122,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,80,48,120
T122,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,120,72,180
T240,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,569,341,854
T240,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,0,0,0
T241,DOM,2021-03-31,2021-02-28,baseline_seasonal_naive,5,3,8
T241,EXP,2021-03-31,2021-02-28,baseline_seasonal_naive,9,5,14
K210,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,20,12,30
K210,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K210A,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,66,40,99
K210B,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,44,26,66
K210C,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,5,3,8
K210C,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,9,5,14
K210D,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K240,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,5,3,8
K240,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K240B,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,191,115,287
K250A,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,148,89,222
K250B,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,48,29,72
K310,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,1628,977,2442
K310,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
K311,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,39,23,59
K311,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,35,21,53
K312,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,9,5,14
K312,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,4,2,6
K350A,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,9,5,14
K350B,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,1,1,2
K350C,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,11,7,17
K350D,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,11,7,17
K350E,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,11,7,17
K350F,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
T120,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,882,529,1323
T120,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,1140,684,1710
T121,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,404,242,606
T121,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,390,234,585
T122,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,271,163,407
T122,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
T240,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,503,302,755
T240,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,0,0,0
T241,DOM,2021-04-30,2021-03-31,baseline_seasonal_naive,3,2,5
T241,EXP,2021-04-30,2021-03-31,baseline_seasonal_naive,6,4,9
K210,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,10,6,15
K210,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,10,6,15
K210A,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,56,34,84
K210B,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,37,22,56
K210C,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,6,4,9
K210C,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,11,7,17
K210D,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K240,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,27,16,41
K240,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K240B,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,257,154,386
K250A,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K250B,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,47,28,71
K310,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,984,590,1476
K310,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K311,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,77,46,116
K311,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K312,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,52,31,78
K312,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K350A,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,8,5,12
K350B,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,2,1,3
K350C,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,13,8,20
K350D,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,9,5,14
K350E,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,17,10,26
K350F,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
T120,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,404,242,606
T120,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,522,313,783
T121,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,573,344,860
T121,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
T122,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,470,282,705
T122,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,706,424,1059
T240,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,476,286,714
T240,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,530,318,795
T241,DOM,2021-05-31,2021-04-30,baseline_seasonal_naive,5,3,8
T241,EXP,2021-05-31,2021-04-30,baseline_seasonal_naive,0,0,0
K210,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,4,2,6
K210,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,20,12,30
K210A,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,47,28,71
K210B,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,32,19,48
K210C,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,35,21,53
K210C,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K210D,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K240,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K240,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K240B,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,212,127,318
K250A,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K250B,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,37,22,56
K310,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,573,344,860
K310,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,687,412,1031
K311,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,100,60,150
K311,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K312,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,7,4,11
K312,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,3,2,5
K350A,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,10,6,15
K350B,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,2,1,3
K350C,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,11,7,17
K350D,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,11,7,17
K350E,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K350F,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
T120,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,226,136,339
T120,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,291,175,437
T121,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,363,218,545
T121,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,350,210,525
T122,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,147,88,221
T122,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,220,132,330
T240,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,560,336,840
T240,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,624,374,936
T241,DOM,2021-06-30,2021-05-31,baseline_seasonal_naive,24,14,36
T241,EXP,2021-06-30,2021-05-31,baseline_seasonal_naive,0,0,0
K210,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,31,19,47
K210,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K210A,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,22,13,33
K210B,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,15,9,23
K210C,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,10,6,15
K210C,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K210D,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K240,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,6,4,9
K240,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K240B,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,205,123,308
K250A,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,159,95,239
K250B,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,62,37,93
K310,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,365,219,548
K310,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,438,263,657
K311,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,37,22,56
K311,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,34,20,51
K312,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,9,5,14
K312,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,5,3,8
K350A,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,8,5,12
K350B,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,3,2,5
K350C,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,7,4,11
K350D,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,7,4,11
K350E,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,13,8,20
K350F,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
T120,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,505,303,758
T120,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
T121,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,648,389,972
T121,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,624,374,936
T122,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,399,239,599
T122,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,599,359,899
T240,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,892,535,1338
T240,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
T241,DOM,2021-07-31,2021-06-30,baseline_seasonal_naive,3,2,5
T241,EXP,2021-07-31,2021-06-30,baseline_seasonal_naive,0,0,0
K210,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,21,13,32
K210,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K210A,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,23,14,35
K210B,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,15,9,23
K210C,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,10,6,15
K210C,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K210D,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K240,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,5,3,8
K240,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K240B,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,204,122,306
K250A,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K250B,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,48,29,72
K310,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,477,286,716
K310,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,573,344,860
K311,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,87,52,131
K311,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K312,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,2,1,3
K312,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,13,8,20
K350A,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,7,4,11
K350B,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,1,1,2
K350C,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,9,5,14
K350D,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,14,8,21
K350E,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
K350F,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
T120,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,399,239,599
T120,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
T121,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,921,553,1382
T121,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
T122,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,687,412,1031
T122,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
T240,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,635,381,953
T240,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,0,0,0
T241,DOM,2021-08-31,2021-07-31,baseline_seasonal_naive,7,4,11
T241,EXP,2021-08-31,2021-07-31,baseline_seasonal_naive,11,7,17
K210,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,25,15,38
K210,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K210A,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,34,20,51
K210B,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,23,14,35
K210C,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,7,4,11
K210C,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,12,7,18
K210D,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K240,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K240,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K240B,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,217,130,326
K250A,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
K250B,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,27,16,41
K310,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,885,531,1328
K310,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,1063,638,1595
K311,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,19,11,29
K311,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,106,64,159
K312,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,13,8,20
K312,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,6,4,9
K350A,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,7,4,11
K350B,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,2,1,3
K350C,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,6,4,9
K350D,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,14,8,21
K350E,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,8,5,12
K350F,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
T120,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,286,172,429
T120,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,369,221,554
T121,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,412,247,618
T121,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,398,239,597
T122,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,664,398,996
T122,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
T240,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,1214,728,1821
T240,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
T241,DOM,2021-09-30,2021-08-31,baseline_seasonal_naive,5,3,8
T241,EXP,2021-09-30,2021-08-31,baseline_seasonal_naive,0,0,0
